,studentID,date,suspended
0,2199,2019-10-30,No
1,1576,2020-04-16,No
2,705,2019-08-30,No
3,553,2019-11-23,No
4,714,2020-01-19,No
5,497,2019-09-18,No
6,37,2020-01-09,No
7,1511,2020-03-04,No
8,402,2019-12-13,No
9,1985,2019-12-11,No
10,1047,2019-10-05,No
11,351,2019-09-15,No
12,1675,2020-04-17,No
13,1217,2020-03-28,No
14,1949,2020-03-04,No
15,1752,2019-11-14,No
16,577,2019-12-18,No
17,133,2019-10-29,No
18,1374,2020-04-17,No
19,90,2020-01-11,No
20,1686,2020-01-31,No
21,1654,2019-12-12,No
22,245,2020-03-05,No
23,1684,2019-11-20,No
24,1464,2019-12-01,No
25,1196,2019-11-08,No
26,737,2019-10-31,No
27,446,2020-01-24,No
28,615,2020-04-15,No
29,974,2020-04-16,No
30,1941,2019-11-29,No
31,2146,2019-12-31,No
32,1474,2019-12-09,No
33,1126,2020-03-16,No
34,1304,2020-02-03,No
35,171,2019-10-27,No
36,314,2020-01-25,No
37,1678,2020-02-02,No
38,1684,2019-11-03,No
39,404,2020-02-03,No
40,677,2019-11-21,No
41,2311,2020-05-01,No
42,20,2019-11-23,No
43,2149,2020-03-14,No
44,2407,2020-03-07,No
45,1948,2020-01-29,No
46,1202,2020-03-31,No
47,1648,2020-03-01,No
48,1937,2020-02-27,No
49,304,2019-10-21,No
50,760,2020-04-14,No
51,2472,2019-12-24,Yes
52,1021,2019-09-30,No
53,266,2019-10-20,No
54,118,2019-12-20,No
55,957,2020-05-02,No
56,1752,2020-03-06,No
57,2235,2020-04-17,No
58,1692,2019-11-06,No
59,1332,2020-04-09,Yes
60,1898,2020-04-17,Yes
61,758,2019-09-30,No
62,1610,2020-02-10,No
63,333,2020-01-08,No
64,777,2019-12-06,No
65,175,2020-03-24,No
66,1183,2019-10-25,No
67,167,2020-02-23,No
68,158,2020-03-27,No
69,664,2019-11-17,No
70,239,2020-01-15,No
71,2407,2020-01-16,No
72,1737,2020-03-20,No
73,600,2019-12-25,No
74,2487,2020-01-31,No
75,589,2020-01-20,No
76,1613,2020-04-09,No
77,1941,2020-03-29,No
78,239,2019-11-12,No
79,1400,2020-03-25,No
80,2324,2020-02-22,No
81,2112,2020-02-23,Yes
82,109,2019-09-01,No
83,51,2019-09-24,Yes
84,252,2019-12-02,No
85,1203,2020-01-18,No
86,34,2019-12-03,No
87,544,2020-03-29,Yes
88,1920,2019-09-02,No
89,872,2019-10-14,No
90,2420,2019-10-26,No
91,2121,2019-09-13,No
92,981,2020-02-20,No
93,140,2019-12-22,No
94,2020,2020-04-10,No
95,955,2020-01-23,Yes
96,2073,2020-03-05,No
97,2325,2019-10-03,No
98,1316,2020-04-03,No
99,2108,2019-09-12,No
